a bad egg,sözünde durmayan
off-peak,daha az meşgul
off-stage,sahne arkası
off-white,hafif grimsi beyaz renk
offal,sakatat
offbeat,olağandışı
offence,suç
offend,suç işlemek
offender,suçlu
offense,bkz.offence
offensive weapon,taarruz silahı
offensive,pis
offer a bribe,rüşvet teklif etmek
offer a price,pey sürmek
offer for sale,satılığa çıkarmak
offer price,arz fiyatı
offer,teklif etmek
offering,bağış
offhand,inceliksiz
office automation,ofis otomasyonu
office block,iş hanı
office clerk,büro memuru
office holder,devlet memuru
office hours,iş sögenleri
office machinery,büro kılgaları
office manager,büro müdürü
office of the governor,valilik
office of the president,cumhurbaşkanlığı
office of the town Governor,kaymakamlık
office seeker,iş arayan kimse
office staff,büro elemanları
office tower,gökdelen işhanı
office work,büro işi
office worker,büro elemanı
office,yazıhane
officer of the day,nöbetçi subay
officer,görevli
officers recreation room,orduevi
official act,resmi muamele
official business,resmi iş
official call,resmi görüşme
official exchange rate,resmi kur
official gazette,resmi gazete
official holidays,resmi tatil günleri
official language,resmi dil
official permission,ruhsat
official rate,resmi kur
official report,resmi rapor
official residence,devlet konutu
official strike,resmi grev
official trip,resmi amaçlı gezi
official,resmi
officialdom,memur sınıfı
officialism,kırtasiyecilik
officially,resmi olarak
officiate,görev yapmak
officinal plants,şifalı bitkiler
officinal,müstahzar
officious,işgüzar
offing,açık deniz
offish,kimseye yaklaşmak istemeyen
offprint,ayrıbasım
offset printing,ofset baskı
offset,ofset
offshade,hatalı renk
offshoot,filiz
offshore drilling,deniz sondajı
offshore wind,kıyıdan esen rüzgâr
offshore,kıyıdan uzak
offside,ofsayt
offspring,çoluk çocuk
oft,sık sık
often,sık sık
ogee arch,deveboynu kemer
ogee,S biçimi
ogive,(dikinti) kaşkemer
ogle,ilgiyle/arzuyla bakmak
ogre,dev
ogress,dişi dev
Oh my God,Aman Tanrım
Oh well,Sağlık olsun
oh,hey!
ohm,om
Ohms law,Ohm yasası
ohmic resistance,ohm direnci
ohmic value,ohm değeri
ohmic,ohmik
ohmmeter,dirençölçer
oil burner,brülör
oil cake,küspe
oil can,yağdanlık
oil catcher,yağ siperi
oil circuit breaker,yağlı şalter
oil cleaner,yağ filtresi
oil collector,yağ toplayıcı
oil colour,yağlıboya
oil company,petrol şirketi
oil control ring,yağ segmanı
oil cooled,yağ soğutmalı
oil cooler,yağ soğutucusu
oil cooling,yağlı soğutma
oil dipstick,yağ seviye çubuğu
oil duct,yağ arnası
oil engine,mazot motoru
oil feeder,yağlama aygıtı
oil field,petrol yatağı
oil filter,yağ filtresi
oil gauge,yağ basınçölçeri
oil gland,yağbezi
oil gun,yağ tabancası
oil hardening,yağda sertleştirme
oil lamp,yağ lambası
oil level,yağ seviyesi
oil painting,yağlıboya resim
oil pan,yağ deposu
oil paper,yağlı kâğıt
oil pressure,yağ basıncı
oil pump,yağ pompası
oil quenching,yağda suverme
oil refinery,rafineri
oil repelling,yağ itici
oil rig,petrol kulesi
oil ring,yağ segmanı
oil seal,yağ keçesi
oil separator,yağ ayırıcı
oil shale,bitümlü şist
oil slick,su üzerinde yüzen petrol tabakası
oil slinger,yağ deflektörü
oil sludge,yağ tortusu
oil soluble,yağda çözünen
oil stain,yağ lekesi
oil stone,bileğitaşı
oil strainer,yağ filtresi
oil sump,alt yağ karteri
oil switch,yağlı şalter
oil tank,yağ deposu
oil tanker,tanker
oil tycoon,petrol kralı
oil well,petrol kuyusu
oil,yağ
oilcloth,muşamba
oiled,yağlı
oiler,gresör
oilfield,petrol sahası
oiliness,kaypaklık
oiling ring,yağlama segmanı
oiling,yağlama
oilpan,yağ karteri
oilskin,muşamba
oilstone,bileği taşı
oily,yağlı
oink,domuz sesi
ointment,merhem
OK,tamam
okay,peki,fena değil,onay,izin,olur,okey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
okra,bamya
old age insurance,yaşlılık sigortası
old age pension,yaşlılık maaşı
old bird,ihtiyar kurt
old boy,eski öğrenci
old clothes man,eskici
old fogy,örümcek kafalı
Old Glory,Birleşik Amerika bayrağı
old gold,mat altın rengi
old hand,deneyimli kimse
old hat,modası geçmiş
old lady,anne
old maid,evlenmemiş yaşlı kız
old peoples home,yaşlılar evi
old salt,yaşlı gemici
old style,eski usul
Old Testament,Eski Ahit
old timer,yaşlı adam
Old World,Eskidünya
old,yaşlı
old-fashioned,eski
old-timer,eski
olden,geçmiş
oldie,moruk
oldish,yaşlıca
oldster,yaşlı
oleaginous,yağlı
oleander,zakkum
oleate,oleat
olefine,olefin
oleic acid,oleik asit
oleic,oleik
oleograph,yağlıboya taklidi resim
oleography,yağlıboya taklidi resim biçemi
oleomargarine,margarin
oleum,oleum
olfaction,koku alma
olfactory cell,koku alma hücresi
olfactory nerve,koku siniri
olfactory,koku almayla ilgili
oligarch,oligarşi yöneticisi
oligarchical,oligarşiye ait
oligarchy,takımerki
Oligocene,Oligosen
oligomer,oligomer
oligopoly,oligopol
oligopsony,oligopson
olio,türlü
olition,seçme
olivaceous,zeytuni
olive green,zeytuni yeşil
olive oil,zeytinyağı
olive tree,zeytin ağacı
olive,zeytin
olivenite,olivenit
oliver,ayak çekici
olivine,olivin
ology,bilim dalı
Olympiad,Olimpiyat
Olympian,görkemli
Olympic Games,Olimpiyat Oyunları
Olympic,olimpik
Olympus,Olimpos dağı
Oman,Umman
omasum,kırkbayır
ombre,bir iskambil oyunu
ombrophilous,yağmurcul
ombudsman,soruşturma kurulu üyesi
omega,omega
omelet,omlet
omelette,omlet
omen,kehanet
omentum,epiplon
ominous,kötülük habercisi
ominousness,uğursuzluk
omissible,atlanabilir
omission,dahil etmeme
omit,dahil etmemek
omni-,(önek) hep
omnibus,(bir yazarın bir çok yapıtını içeren) kitap
omnidirectional aerial,yönsüz anten
omnidirectional,yönsüz
omnifarious,her türden
omnipotence,sınırsız güç
omnipotent,her şeyi yapabilecek güçte olan
omnipresence,aynı anda her yerde olma
omnipresent,aynı anda her yerde olabilen
omniscience,her şeyi bilme
omniscient,her şeyi bilen
omnium,sermaye ve borçlar toplamı
omnivorous,hem otobur hem etobur
omophalic,göbek ile ilgili
omophalocele,omfalosel
omoplate,küreksümüğü
omphalos,göbek
on a line,aynı hizada
on a shoestring,çok az para ile
on a turnkey basis,anahtar teslimi
on account of,ötürü
on an even keel,değişmez
on and off,ara sıra
on and on,durmadan
on approval,muhayyer olarak
on bail,kefaletle
on behalf of,-in adına
on bended knee,yalvararak
on board bill of lading,yükleme konşimentosu
on board,gemide
on call,hazır
on cloud nine,sevinçten havalara uçmuş
on condition of,koşuluyla
on condition that,eğer
on consignment,konsinye olarak
on credit,veresiye
on deck,güvertede
on demand,ibrazında
on duty,nöbetçi
on earth,ki
on easy street,varlıklı
on edge,stresli
on end,mütemadiyen
on fire,alevler içinde
on foot,yayan
on general release,(film) gösterimde
on good terms with,ile iyi arkadaş
on guard,nöbette
On guard!,Dikkat!
on hand,el altında
on high,cennette
on his own hook,kendi başına
on holiday,tatilde
on leave,izinli
on line,onlayn
on loan,ödünç olarak
on no account,hiçbir şekilde
on no condition,asla
on oath,gerçeği söyleyeceğine yeminli
on occasion,ara sıra
on ones heels,hemen arkasından
on ones honour,şerefi üzerine
on ones own volition,kendi iradesiyle
on ones own,kendi kendine
on ones toes,harekete hazır
on paper,kâğıt üzerinde
on presentation,ibrazında
on principle,prensip itibarıyla
on purpose,kasten
on record,kayıtlara geçmiş
on remand,yargılanmasını beklemede
on request,istenildiğinde
on sale,satılık
on schedule,planlanan sögende
on second thoughts,sonradan düşününce
on shore,kıyıda
on tap,(bira) fıçıdan
on that score,o konu üzerinde
on the air,ünalgıda yayınlanmakta
on the alert,alarm durumunda
on the breadline,çok yoksul
on the cards,olası
on the chance,ümidiyle
on the cheap side,oldukça ucuz
on the cheap,ucuza
on the contrary,bilakis
on the dot,tam vaktinde
on the double,çok çabuk
on the eve of,arifesinde
on the Greek calends,balık kavağa çıkınca
on the high side,oldukça yüksek
on the house,beleş
on the kerb,işporta
on the knife-edge,bıçak sırtında
on the level,içten
on the loose,başıboş
on the low side,oldukça düşük
on the make,çıkar peşinde
on the market,piyasada (satılan)
on the mend,iyileşen
on the move,hareket halinde
on the occasion of,münasebetiyle
on the offensive,sürekli saldıran
on the one hand on the other hand,bir yandan diğer yandan
on the one hand,diğer yandan
on the order of,tarzında
on the other hand,bir yanda
on the part of,-ın tarafından
on the prowl,av peşinde
on the quiet,kimseye çaktırmadan
on the rebound,sekerken
on the right track,doğru yolda
on the road,seyahatte
on the rocks,(içki) buzlu
on the run,ayaküstü
on the scent of,izi üstünde
on the short side,oldukça kısa
on the side,ek olarak
on the sly,gizlice
on the spot,tam vaktinde
on the spur of the moment,hazırlıksız
on the surface,görünüşte
on the tip of ones tongue,dilinin ucunda
on the trot,üst üste
on the whole,neticede
on the wing,uçan
on these condition,bu şartlarda
on time,vaktinde
on tiptoe,ayaklarının ucuna basarak
on top of,ayrıca
on trial,yargılanmakta
on view,sergilenmekte
on,aralıksız, (edat) üstün(d)e, üzerin(d)e, yanında,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on-duty court,nöbetçi mahkeme
on-line,onlayn
onager,yaban eşeği
onanism,mastürbasyon
onboard,uçak (ile ilgili)
once a year,yılda bir
once again,bir kez daha
once and for all,ilk ve son kez
once bitten twice shy,sütten ağzı yanan yoğurdu üfleyerek yer
once for all,ilk ve son olarak
once in a blue moon,kırk yılda bir
once in a while,arada bir
once more,bir kez daha
once or twice,bir iki kez
once upon a time,bir zamanlar
once,bir kez
once-over,şöyle bir bakma
oncology,onkoloji
oncoming,ilerleyen
oncost,genel giderler
ondograph,ondograf
one after another,birer birer
one and all,hepsi
one and the same,aynı
one another,birbirini
one by one,birer birer
one day,bir gün
one ofter another,birbiri arkasından
one or two,bir iki
one tenth,onda bir
one the door,kovmak
one,bir
one-armed bandit,kollu kumar makinesi
one-armed,çolak
one-bath,tek banyo
one-celled,birgözeli
one-engined,tekmotorlu
one-eyed,tek gözlü
one-handed,tek elli
one-horse,tek atlı
one-legged,tek bacaklı
one-level,tek düzeyli
one-man show,tek kişilik oyun
one-off,özel
one-piece,tek parçalı
one-sided,tek taraflı
one-to-one relation,bire bir ilişki
one-to-one,birebir
one-track,tek yollu
one-way street,tekyönlü yol
one-way,tek yönlü
ones better half,eş
ones cup of tea,sevdiği şey
ones days are numbered,günleri sayılı
ones jaw drops,ağzı bir karış açık kalmak
ones level best,elinden gelenin en iyisi
ones own lookout,kendi sorunu
oneiric,düşsel
oneirocritical,rüya yorumlayan
oneness,bir olma
oner,yaman kimse
onerous contract,ivazlı sözleşme
onerous,ağır
onerousness,külfet
oneself,kendisi
onetime,eski
ongoing,devam eden
onion topper,soğan baş kesme makinesi
onion,soğan
onium dyestuff,onyum boyarmaddesi
online,çevrimiçi
onlooker,olaylara katılmayıp yalnızca izleyen kişi
only too,çok
only,biricik
onomasiology,adbilim
onomasticon,adlar kümesi
onomastics,adbilim
onomatopoeia,yansıtma
onomatopoeic,yansımalı
onrush,saldırı
onset,(kötü bir şey için) başlangıç ya da ilk saldırı
onshore,denizden karaya
onside,be
onslaught,şiddetli saldırı
onto,üstüne
ontogenesis,ontogenez
ontology,ontoloji
onus probandi,kanıtlama zorunluluğu
onus,yük
onward,ilerleyen
onwards,ileriye doğru
onyx,damarlı akik
ooblast,olgunlaşmamış dişi hücre
oocyst,oosit
oodles,çok büyük miktar
oof,mangır
oolite,oolit
oomph,cinsel cazibe
oops,hop!
oosperm,zigot
ooze,sızıntı
oozy,sızıntılı
opacity,opaklık
opal blue,opal mavisi
opal glass,sütlü cam
opal lamp,opal lamba
opal,panzehirtaşı
opalescent,yanardöner
opaque,ışıkgeçirmez
opaqueness,opaklık
open account,açık hesap
open air,açık hava
open an account,hesap açtırmak
open blood system,açık dolaşım jüyesi
open cast,açık ocak
open cheque,açık çek
open circuit,açık devre
open circulatory system,açık dolaşım jüyesi
open city,açık şehir
open competition,açık rekabet
open credit,açık kredi
open economy,açık ekonomi
open end wrench,somun anahtarı
open fire on,soru yağmuruna tutmak
open fire,ateş açmak
open heart surgery,açık kalp ameliyatı
open loop,açık döngü
open market,açık pazar
open ones heart to sb,birine kalbini açmak
open out,daha rahat konuşmak
open pit,açık ocak
open policy,açık poliçe
open sbs eyes to sth,gözünü açmak
open sea,açık deniz
open season,av mevsimi
open the budget,bütçeyi sunmak
open to question,tartışılabilir
Open University,açıköğretim
open up a business,iş açmak
open up,açmak
open wire,çıplak tel
open,açık, samimi, herkese açık, girişi serbest, kullanıma hazır, açık, açmak, açılmak, açık hava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
open-air cinema,açık hava sineması
open-air theatre,açık hava tiyatrosu
open-air,açık hava
open-circuit,açık devre
open-ended question,açık uçlu soru
open-ended,kısıtlamasız
open-eyed,açıkgöz
open-handed,eli açık
open-minded,açık fikirli
open-width,açık halde
opener,açacak
openhearted,açık kalpli
opening ceremony,açılış töreni
opening price,açılış fiyatı
opening speech,açılış konuşması
opening,açılış
openly,açıkça
openness,genişlik
openwork,seyrek örgü
opera glasses,opera dürbünü
opera hat,silindir erkek şapkası
opera house,opera binası
opera,opera
operable,uygulanabilir
operand,işlenen
operate,işletmek
operatic singer,opera şarkıcısı
operatic,opera ile ilgili
operating console,işletim konsolu
operating costs,işletme giderleri
operating current,çalışma akımı
operating income,işletme geliri
operating lever,işletme kolu
operating profit,işletme kârı
operating revenue,işletme geliri
operating system,işletim jüyesi
operating table,ameliyat masası
operating theatre,ameliyat odası
operating,işletme
operation register,işlem yazmacı
operation,iş, operasyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational amplifier,işlemsel amplifikatör
operational research,yöneylem araştırması
operational,kullanıma hazır
operations analysis,yöneylem araştırması
operations manual,işletim elkitabı
operations research,yöneylem araştırması
operative,işleyen
operator,operatör
operculum,yosun kapsül kapağı
operetta,operet
ophiolite,ofiyolit
ophitic,ofitik
ophthalmia,göz iltihabı
ophthalmic hospital,göz hastalıkları hastanesi
ophthalmic,göz doktorluğu/tedavisi ile ilgili
ophthalmologist,göz hekimi
ophthalmology,göz hekimliği
ophthalmoscope,oftalmoskop
opiate,uyku ilacı
opine,düşünmek
opinion research,kamuoyu araştırması
opinion,fikir
opinionated,fikrinden dönmez
opium poppy,haşhaş
opium,afyon
opium-eater,afyonkeş
opiumism,afyonkeşlik
opossum,(keselisıçangillerden) opossum
oppidan,şehirli
opponent,aleyhtar
opportune,uygun
opportunism,fırsatçılık
opportunist,fırsatçı
opportunity,fırsat
opposable,karşı konulabilir
oppose,karşı koymak
opposed cylinder engine,boksermotor
opposed piston engine,karşılıklı pistonlu motor
opposed,aksi
opposite angle,ters açı
opposite number,meslektaş
opposite sex,karşı cins
opposite,karşıt
oppositeness,zıddiyet
opposition leader,muhalefet lideri
opposition party,muhalefet partisi
opposition,karşıtlık
oppress,bunaltmak
oppression,sıkıntı
oppressive,zalim
oppressiveness,sıkıcılık
oppressor,gaddar
opprobrious,aşağılayıcı
opprobrium,aşağılama
oppugn,yalanlamak
opt out,çekilmek
opt,(for ile) -e yeğlemek
optative,istek kavramı veren
optic axis,optik eksen
optic center,görme merkezi
optic nerve,göz siniri
optic tracts,göz sinirleri
optic,gözle ilgili
optical activity,optik etkinlik
optical character reader,optik karakter okuyucu
optical character recognition,optik karakter tanıma
optical density,optik yoğunluk
optical illusion,optik illüzyon
optical image,optik görüntü
optical mark reader,optik işaret okuyucu
optical microscope,optik mikroskop
optical printing,optik basım
optical refraction,optik kırılma
optical scanner,optik tarayıcı
optical sound,optik ses
optical viewfinder,vizör
optical,görme duyusuyla ilgili
optician,gözlükçü
optics,ışıkbilgisi
optimal,en iyi/yüksek/uygun
optimism,iyimserlik
optimist,iyimser kimse
optimistic,iyimser
optimization,optimizasyon
optimize,en uygun şekle getirmek
optimum,en iyi/yüksek/uygun
option dealer,opsiyon satıcısı
option forward,vadeli opsiyon
option to purchase,şufa hakkı
option,seçme hakkı
optional,isteğe bağlı
options exchange,opsiyon borsası
optometry,optometri
opulence,refah
opulent,varlıklı
opus,eser
opuscule,küçük eser
or else,yoksa
or Im a Dutchman,değilse Arap olayım
or something,ya da öyle bir şey
or whatever,ya da öyle bir şey
or,ya da
orache,kara pazı
oracle,en iyi öğüt verebilecek kimse
oracular,kehanetle ilgili
oral cavity,ağız boşluğu
oral contract,şifahi akit
oral examination,sözlü (sınav)
oral intercourse,oral seks
oral,sözel
orally,sözlü olarak
orang-outang,orangutan
orange blossom,portakal çiçeği
orange jam,portakal reçeli
orange,portakal
orangeade,portakal gazozu
orangery,limonluk
orangutang,orangutan
orate,konuşma yapmak
oration,söylev
orator,hatip
oratorio,oratoryo
oratorize,konuşma yapmak
oratory,hitabet
orb,küre
orbicular,küresel
orbit,yörünge
orbital electron,orbital elektron
orbital,yörüngeye ait
orcein,orsein
orchard,meyve bahçesi
orcharding,meyvecilik
orchestra,orkestra
orchestrate,orkestraya uyarlamak
orchestration,orkestraya uyarlama
orchid,orkide
orchis,orkide
orcin,orsin
orcinol,orsinol
ordain,buyurmak
ordeal,çetin sınav
order bill,emre yazılı tahvil
order book,sipariş defteri
order cheque,emre yazılı çek
order form,sipariş listesi
order instrument,emre yazılı senet
order of kinghthood,şeref rütbesi
order of payment,ödeme emri
order of precedence,kıdem sırası
order of reaction,reaksiyon sırası
order of the day,günlük emir
order slip,sipariş bülteni
order,düzen, ısmarlama, durum, hal, kural, usul, yol, sınıf, tabaka, havale, rütbe, tür, çeşit, sınıf, türküm, buyurmak, emretmek, ısmarlamak, sipariş vermek, düzenlemek, tertiplemek,,,,,,,,,,,,,,,,,,,,
ordered set,sıralı küme
ordered,düzenli
ordering axiom,sıralama aksiyomu
ordering,sıralama
orderless,düzensiz
orderliness,düzen
orderly,düzenli, emir eri, hastane hademesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinal number,sıra sayısı
ordinal,sıra gösteren
ordinance,buyruk
ordinarily,her zaman olduğu gibi
ordinariness,bayağılık
ordinary creditor,adi alacaklı
ordinary interest,basit faiz
ordinary language,gündelik dil
ordinary share,adi hisse senedi
ordinary,sıradan
ordinate,ordinat
ordnance officer,ordudonatım subayı
ordnance,ordu donatım
Ordovician,ordovizyen
ordure,pislik
ore bunker,maden filizi deposu
ore deposit,cevher yatağı
ore separator,cevher ayırıcı
ore,maden cevheri
oread,dağ perisi
organ bank,kılgan bankası
organ grinder,latarnacı
organ of hearing,işitme kılganı
organ of sight,görme kılganı
organ of touch,dokunma kılganı
organ of vision,görme kılganı
organ,organ
organdie,organtin
organdy,çok ince muslin
organelle,organel
organic acid,organik asit
organic chemist,organik kimyager
organic chemistry,organik kimya
organic compound,organik bileşik
organic disease,organik hastalık
organic electricity,bedenlik çıngı
organic gas,organik gaz
organic law,anayasa
organic matter,organik madde
organic rock,organik kaya
organic sediment,organik tortu
organic soil,organik toprak
organic structure,organik yapı
organic substance,organik madde
organic,organik
organically,organik olarak
organism,organizma
organist,orgçu
organization,örgüt
organizational,örgütsel
organize,kurmak
organized labour,örgütlü işgücü
organized,organize
organizer,düzenleyici
organo-,(önek) organik
organoid,organoit
organometallic,organometalik
organs of speech,ses kılganları
organza,organze
organzine,organzin ibrişimi
orgasm,orgazm
orgiastic,sefahatla ilgili
orgy,seks partisi
oriel window,cumbalı pencere
oriel,cumba
Orient,yönlendirmek
oriental bacon,pastırma
oriental,şarkî
orientalism,şarkşinaslık
orientalist,şarkşinas
orientate,yönlendirmek
orientation,yönlendirme
orifice,ağız
oriflamme,bayrak
origami,Japon kâğıt katlama sanatı
origan,yabani mercanköşk
origin,başlangıç
original capital,kuruluş sermayesi
original copy,esas kopya
original,orijinal
originality,orijinallik
originally,başlangıçta
originate from,den kaynaklanmak
originate,kaynaklanmak
originating traffic,mebde trafiği
oriole,sarıasma
orlop,kontra tavlon
ormolu,altın kaplama tunç
ornament,süs
ornamental plants,süs bitkileri
ornamental,süs olarak kullanılan
ornamentation,süs
ornate,çok süslü
ornery,huysuz
ornithological,kuşbilimle ilgili
ornithologist,kuşbilimci
ornithology,kuş bilimi
orogenesis,orojenez
orogenic,orojenik
orogeny,dağoluş
orographic,orografik
orography,orografi
orology,dağlar bilgisi
orometer,yükseklik barometresi
orotund,tumturaklı
orphan,öksüz
orphanage,yetimler yurdu
orpiment,orpiment
orris powder,süsen kökü tozu
orrisroot,süsen kökü
orthicon,ortikon
ortho-,(önek) doğru
orthocenter,yükseklik merkezi
orthochromatic,ortokromatik
orthoclase,ortoklaz
orthodontia,ortodonti
orthodontics,diş düzeltme sanatı
orthodox,herkesin inandığına inanan
orthogonal,dikey
orthographic,ortografik
orthography,imla
orthohydrogen,ortohidrojen
orthonormal,ortonormal
orthopaedic surgeon,ortopedist
orthopaedic surgery,ortopedik ameliyat
orthopaedic,ortopedik
orthopaedics,ortopedi
orthopedic,bkz.orthopaedic
orthoscope,ortoskop
os,sümük
Oscar,oskar ödülü
oscillate,sarkaç gibi sallanmak
oscillation,salınım
oscillator,osilatör
oscillatory,titreşimli
oscillogram,osilogram
oscillograph,osilograf
oscilloscope,osiloskop
osculate,dokunmak
osculating curve,dokunum eğrisi
osculating plane,dokunum düzlemi
osculation,öpme
osier,sepetçisöğüdü
osmic,osmik
osmiridium,osmiridyum
osmium,osmiyum
osmosis,geçişim
osmotic pressure,osmotik basınç
osmotic,osmotik
osprey,balık kartalı
ossein,sümük tutkalı
osseous,sümükle ilgili
ossicle,kulak sümükçüğü
ossification,sümükleşme
ossified,sümükleşmiş
ossify,sümükleştirmek
ossuary,ölü sümüklerinin korunduğu yer
osteitis,sümük iltihabı
ostensible partner,sözde ortak
ostensible,görünüşte
ostensibly,görünürde
ostentation,gösteriş
ostentatious,gösterişli
osteoblast,osteoblast
osteoid,sümüksü
osteology,sümükbilimi
osteoma,sümük tümörü
osteomalacia,sümük yumuşaması
osteomyelitis,sümük iliği iltihabı
osteopath,kırıkçı
ostler,seyis
ostracism,toplumdan dışlama
ostracize,toplum dışı bırakmak
ostrich plume,devekuşu tüyü
ostrich,devekuşu
other than,hariç
other,diğer
otherwise,başka türlü
otiose,aylak
otitis media,ortakulak iltihabı
otitis,kulak iltihabı
otolaryngologist,kulak
otolaryngology,kulak-burun-boğaz bilimi
otology,kulak
otoscope,otoskop
otter,su samuru
Ottoman Empire,Osmanlı imparatorluğu
Ottoman,Osmanlı
ouch,(acı belirtir) ah!
ought to,-meli
ought,(ödev/zorunluluk belirtir) -meli
ounce,ons
Our Lady,Meryem Ana
Our Lord,Hazreti isa
our,bizim
ours,bizimki
ourselves,biz
oust,dışarı atmak
out and about,iyileşmiş
out and out,komple
out building,ek bina
out cold,bilinçsiz
out for,-in peşinde
out in left field,nevi şahsına münhasır
out of action,işlemeyecek hale gelmiş
out of agenda,gündem dışı
out of balance,dengesiz
out of breath,nefes nefese
out of control,kontrolden çıkmış olmak
out of danger,tehlikeden çıkmış
out of date,eski
out of doors,dışarıda
out of fashion,demode
out of function,iş görmez
out of gas,yorgun argın
out of gear,(vites) boşta
out of hand,derhal
out of harms way,tehlikeden uzak
out of keeping,bağdaşmayan
out of luck,şansı olmamak
out of ones depth,boyunu aşan
out of ones mind,çatlak
out of order,çalışmaz
out of pity,acıyarak
out of place,yersiz
out of pocket,sarf edilmiş
out of position,yerinden çıkmış
out of practice,körelmiş
out of print,baskısı tükenmiş
out of proportion,mantıksızca
out of reach,erişilmez
out of season,satın alınmaz
out of service,hizmet dışı
out of sight,gözden uzak
out of sorts,keyifsiz
out of spite,garezinden
out of stock,elde kalmamış
out of temper,huysuz
out of the blue,damdan düşme
out of the corner of ones eye,göz ucuyla
out of the ordinary,olağandışı
out of the question,olanaksız
out of the running,kazanma ümidi olmayan
out of the way,olağandışı
out of the wood,dertten beladan uzak
out of thin air,hiç yoktan
out of this world,süper
out of time,temposu bozuk
out of touch with,-den habersiz
out of turn,sırasız
out of use,kullanılmayan
out of wedlock,evlilik dışı
out of work,işsiz
out of,-den dışarı
out ones element,halinden memnun olmayan
Out with it!,Söyle şunu!
Out with you,Çık dışarı!
Out you go!,Çık dışarı!
out,dışarı, dış, harici, uzak, uzakta olan, olanaksız, (ışık/ateş/vb.) sönmüş, sönük, (tahmin/hesap/vb.) yanlış,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out-of-focus,flu
out-of-pocket expenses,küçük nakit masraflar
out-of-the-way,ücra
outage,fire
outbalance,daha ağır gelmek
outbid,-den daha fazlasını teklif etmek
outboard engine,dış motor
outboard motor,küçük botların arkasına takılan motor
outboard,tekne dışı
outbreak,patlak verme
outbuilding,ek bina
outburst,patlama
outcast,toplumdan atılmış
outclass,-den çok üstün olmak
outcome,sonuç
outcrop,yeryüzüne çıkmış katman ya da kaya
outcry,halk protestosu
outdate,geçersiz kılmak
outdated,modası geçmiş
outdistance,daha hızlı gitmek ya da daha ileri gitmek
outdo,-den üstün olmak
outdoor antenna,harici anten
outdoor,açık havada
outdoors,açık hava
outer cover,dış örtü
outer ear,dışkulak
outer space,uzay
outer world,dış dünya
outer,harici
outermost,en dıştaki
outface,meydan okumak
outfit,teçhizat
outfitter,teçhizat müteahhidi
outflow,dışarıya akan miktar
outgo,masraf
outgoing,giden
outgoings,masraf
outgrow,-den daha çabuk büyümek
outgrowth,doğal sonuç
outhouse,ek yapı
outing,gezinti
outlandish,garip
outlast,-den daha uzun sürmek
outlaw,kanun kaçağı
outlay,(on/for ile) harcanan para
outlet,çıkış yeri
outlier,şahit tepe
outline,ana hatlar
outlive,-den daha uzun yaşamak
outlook,görünüm
outlying,merkezden uzak
outmanoeuvre,(rakibinden) daha etkili hareket etmek
outmoded,modası geçmiş
outmost,en dıştaki
outnumber,sayıca üstün olmak
outpatient,ayakta tedavi edilen hasta
outpost,ileri karakol
output amplifier,çıkış amplifikatörü
output circuit,çıkış devresi
output data,çıkış bilgisi
output device,çıktı aygıtı
output impedance,çıkış empedansı
output shaft,çıkış mili
output tube,çıkış tüpü
output voltage,çıkış gerilimi
output,verim
outrage,nefret uyandırıcı hareket
outrageous,terbiyesiz
outreach,uzama
outrider,araba önündeki atlı uşak
outrigger,avara demiri
outright,tamamen
outsell,fazla satmak
outset,başlangıç
outshine,-den daha fazla parlamak
outside diameter,dış çap
outside left,solaçık
outside right,sağaçık
outside,dış, azami, (şans/olasılık/vb.) uzak, dışarıda, dışarıya, dışında, dışına,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outsider,bir türkümün dışında olan kimse
outsize,(giysi) çok büyük boy
outskirts,kentin dışı
outsmart,kurnazlıkla üstesinden gelmek
outspoken,dobra dobra konuşan
outspread,(kol/vb.) açık
outstanding debt,ödenmemiş borç
outstanding,diğerlerinden iyi
outstandings,ödenmemiş borçlar
outstretched,uzanmış
outstrip,-den daha iyi yapmak
outturn,üretim
outward,dış
outwardly,dıştan
outwards,dışarıya
outwash,yıkamak
outweigh,-den daha ağır basmak
outwit,kurnazlıkla altetmek
outwork,evde yapılan parça başı iş
outworker,parça başı çalışan kişi
outworn,modası geçmiş
ouzel,karatavuk
ova,yumurtalar
oval,yumurta biçiminde
ovarian,yumurtalıkla ilgili
ovaritis,yumurtalık iltihabı
ovary,yumurtalık
ovation,coşkunca alkış/beğeni
oven bird,çömlekçi kuşu
oven,fırın
oven-dry,fırınlanmış
over a barrel,sıkışık durumda
over again,bir daha
over against,karşısında
over and above,-den başka
over and over again,tekrar tekrar
over sbs head,anlama kapasitesinin üstünde
over the hill,yaşını başını almış
over the moon,çok mutlu
over there,orada
over weight,fazla kilolu
over,yere, aracılığıyla, -den, -dan, bitmiş, sona ermiş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
